id;start_date;end_date;language
1;2021-03-16T16:19:15;2021-03-16T14:09:30;SPANISH
2;2021-03-15T21:09:26;2021-03-16T16:13:51;SPANISH
3;2021-03-16T12:04:45;2021-03-15T22:38:54;FRENCH
4;2021-03-16T03:22:16;2021-03-16T14:53:42;FRENCH
5;2021-03-16T12:52:34;2021-03-16T17:39:33;FRENCH
6;2021-03-16T06:44:55;2021-03-16T18:53:09;FRENCH
7;2021-03-16T08:30:15;2021-03-16T02:21:06;FRENCH
8;2021-03-16T07:26:28;2021-03-16T17:42:36;SPANISH
9;2021-03-16T06:07:37;2021-03-16T02:49:00;SPANISH
10;2021-03-16T14:19:41;2021-03-16T00:54:11;SPANISH
